,index,0
0,answer to prayer,1
1,breast expansion,1
2,pleading with god,1
3,supernatural power,1
4,walking on water,1
5,astronomer,1
6,comet,1
7,mission,1
8,president,2
9,secretary,1
10,dam,1
11,flood,1
12,money,1
13,police,1
14,sheriff,1
15,analyst,1
16,cia,1
17,nuclear bomb,1
18,nuclear weapons,1
19,russia,1
20,alien,1
21,friend,2
22,maine,1
23,military,1
24,woods,1
25,billionaire,1
26,hospital,2
27,list,1
28,mechanic,1
29,collar,1
30,dog,1
31,fight,1
32,fighting,1
33,piano,1
34,defense lawyer,1
35,lawyer,1
36,marine,1
37,murder,1
38,villager,1
39,boy,1
40,dolphin,2
41,prosthetics,1
42,tail,1
43,trap,1
44,latex gloves,1
45,medical scrubs,1
46,purple gloves,1
47,turtle,1
48,detective,2
49,police partner,1
50,serial killer,2
51,serial murder,1
52,seven deadly sins,1
53,abusive boyfriend,1
54,bear,1
55,car accident,1
56,ranch,1
57,wyoming,1
58,kidnapping,2
59,partner,1
60,ransom,1
61,school,1
62,secret service,1
63,punching a heavy bag,1
64,tied to a tree,1
65,escape from prison,1
66,first person narration,1
67,prison,1
68,prison cell search,1
69,wrongful imprisonment,1
70,kansas city,1
71,obsession,1
72,salesman,1
73,soap opera,1
74,chariot race,2
75,epic,2
76,false accusation,2
77,jerusalem,2
78,slave,2
79,1950s,1
80,african american,1
81,jewish,1
82,old age,1
83,widow,1
84,artificial intelligence,1
85,consciousness,1
86,power outage,1
87,scientist,1
88,technology,1
89,apartheid,1
90,nation,1
91,nelson mandela,1
92,rugby,1
93,cold fusion,1
94,die hard scenario,1
95,man with glasses,1
96,on the run,1
97,outrunning explosion,1
98,balladeer,1
99,crusades,1
100,england,1
101,king,1
102,modern minstrel,1
103,disease,1
104,epidemic,1
105,monkey,1
106,quarantine,1
107,virus,1
108,courtroom,1
109,mutiny,1
110,ship,1
111,slave ship,1
112,slave trade,1
113,boxing,1
114,boxing trainer,1
115,death,3
116,suicide attempt,1
117,women boxing,1
118,army,2
119,black soldier,2
120,military uniform,2
121,prejudice,2
122,u.s. civil war,2
123,coroner,2
124,gay son,2
125,love,2
126,mistaken identity,2
127,englishman,1
128,leaving flowers on a grave,1
129,one last job,1
130,reputation,1
131,visiting wife's grave,1
132,based on comic book,1
133,dc comics,1
134,psychopath,1
135,star died before release,1
136,urban setting,1
